q, iprec
1, 0.00183486
1, 0.00183486
1, 0.00183486
1, 0.00183486
1, 0.00183486
1, 0.00183486
1, 0.00183486
1, 0.00183486
1, 0.00183486
1, 0.00183486
1, 0.00183486
2, 1
2, 0.5
2, 0.375
2, 0.0927835
2, 0.0927835
2, 0.0927835
2, 0.0927835
2, 0
2, 0
2, 0
2, 0
3, 1
3, 0.8
3, 0.8
3, 0.666667
3, 0.666667
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
5, 0
5, 0
5, 0
5, 0
5, 0
5, 0
5, 0
5, 0
5, 0
5, 0
5, 0
6, 0.25
6, 0.25
6, 0.25
6, 0.25
6, 0.25
6, 0.25
6, 0.25
6, 0.25
6, 0.25
6, 0.25
6, 0.25
7, 1
7, 1
7, 1
7, 1
7, 1
7, 1
7, 0.0256959
7, 0.0192044
7, 0
7, 0
7, 0
8, 0.166667
8, 0.166667
8, 0.166667
8, 0.166667
8, 0.0714286
8, 0.0714286
8, 0.0714286
8, 0.0714286
8, 0.0714286
8, 0.0714286
8, 0.0714286
9, 0.625
9, 0.625
9, 0.625
9, 0.625
9, 0.0333333
9, 0.0333333
9, 0.0333333
9, 0.0285714
9, 0
9, 0
9, 0
10, 0.428571
10, 0.428571
10, 0.428571
10, 0.428571
10, 0.428571
10, 0.428571
10, 0.428571
10, 0.4
10, 0.4
10, 0
10, 0
11, 1
11, 1
11, 1
11, 0.046875
11, 0.0280374
11, 0.0280374
11, 0.0280374
11, 0.0269542
11, 0.0269542
11, 0.0269542
11, 0.0269542
12, 0.5
12, 0.5
12, 0.5
12, 0.428571
12, 0.428571
12, 0.357143
12, 0.357143
12, 0.357143
12, 0
12, 0
12, 0
13, 0.0114943
13, 0.0114943
13, 0.0114943
13, 0.0114943
13, 0.0114943
13, 0.0114943
13, 0.00214133
13, 0.00214133
13, 0.00214133
13, 0.00214133
13, 0.00214133
14, 1
14, 1
14, 1
14, 1
14, 1
14, 1
14, 1
14, 0.0414201
14, 0.0414201
14, 0
14, 0
15, 1
15, 1
15, 1
15, 1
15, 1
15, 1
15, 0.714286
15, 0.714286
15, 0.666667
15, 0
15, 0
16, 1
16, 1
16, 1
16, 0.833333
16, 0.833333
16, 0.833333
16, 0.777778
16, 0.777778
16, 0.1
16, 0.0891089
16, 0.0891089
17, 0.4
17, 0.4
17, 0.4
17, 0.3
17, 0.0102564
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
18, 1
18, 1
18, 1
18, 1
18, 0.75
18, 0.75
18, 0.75
18, 0.75
18, 0.75
18, 0.75
18, 0.75
19, 0.666667
19, 0.666667
19, 0.666667
19, 0.666667
19, 0.666667
19, 0.666667
19, 0.666667
19, 0.0652174
19, 0.0652174
19, 0.0652174
19, 0.0652174
20, 0.8
20, 0.8
20, 0.8
20, 0.8
20, 0.8
20, 0.8
20, 0.8
20, 0.147059
20, 0.147059
20, 0.0545455
20, 0.0545455
21, 1
21, 1
21, 0.833333
21, 0.833333
21, 0.833333
21, 0.8
21, 0.8
21, 0.8
21, 0.225
21, 0.188679
21, 0.0654762
22, 0.888889
22, 0.888889
22, 0.888889
22, 0.888889
22, 0.888889
22, 0.888889
22, 0.888889
22, 0.6
22, 0.0515464
22, 0.0385965
22, 0.036036
23, 1
23, 1
23, 1
23, 1
23, 1
23, 1
23, 1
23, 0.106061
23, 0.0471204
23, 0.0471204
23, 0.0471204
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
25, 0.333333
25, 0.333333
25, 0.333333
25, 0.333333
25, 0.333333
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
26, 1
26, 1
26, 0.25
26, 0.25
26, 0.00966184
26, 0.00966184
26, 0.00966184
26, 0.00966184
26, 0.00966184
26, 0.00966184
26, 0.00966184
27, 0.5
27, 0.5
27, 0.5
27, 0.5
27, 0.5
27, 0.5
27, 0.5
27, 0.5
27, 0.5
27, 0.391304
27, 0
28, 0.7
28, 0.7
28, 0.7
28, 0.7
28, 0.7
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
29, 1
29, 1
29, 0.8
29, 0.8
29, 0.0555556
29, 0.0546875
29, 0.0546875
29, 0
29, 0
29, 0
29, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
31, 0.609082
31, 0.585749
31, 0.54436
31, 0.487467
31, 0.413125
31, 0.352595
31, 0.308431
31, 0.188959
31, 0.111868
31, 0.0662198
31, 0.0489842
