q, iprec
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0.0434783
2, 0.0434783
2, 0.0434783
2, 0.0434783
2, 0.0123967
2, 0.0089172
2, 0
2, 0
2, 0
2, 0
2, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
3, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
4, 0
5, 0.00570125
5, 0.00570125
5, 0.00570125
5, 0.00570125
5, 0.00570125
5, 0.00570125
5, 0.00570125
5, 0.00570125
5, 0
5, 0
5, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
6, 0
7, 0.0322581
7, 0.0322581
7, 0.0138889
7, 0.0138889
7, 0.0138889
7, 0.0138889
7, 0
7, 0
7, 0
7, 0
7, 0
8, 0.0714286
8, 0.0714286
8, 0.0714286
8, 0.0714286
8, 0.0714286
8, 0.0714286
8, 0.0714286
8, 0.020979
8, 0.020979
8, 0.020979
8, 0.020979
9, 0.0319149
9, 0.0319149
9, 0.0319149
9, 0.0227273
9, 0.00747198
9, 0.00719424
9, 0
9, 0
9, 0
9, 0
9, 0
10, 0.00581395
10, 0.00581395
10, 0.00581395
10, 0.00246609
10, 0.00246609
10, 0
10, 0
10, 0
10, 0
10, 0
10, 0
11, 0.176471
11, 0.176471
11, 0.176471
11, 0.176471
11, 0.0666667
11, 0.0614035
11, 0.0614035
11, 0.0614035
11, 0.0529801
11, 0
11, 0
12, 0.4
12, 0.4
12, 0.4
12, 0.027027
12, 0.027027
12, 0.0155642
12, 0
12, 0
12, 0
12, 0
12, 0
13, 0.00322581
13, 0.00322581
13, 0.00322581
13, 0.00322581
13, 0.00322581
13, 0.00322581
13, 0
13, 0
13, 0
13, 0
13, 0
14, 0.1
14, 0.1
14, 0.0731707
14, 0.0731707
14, 0.0234114
14, 0.0180995
14, 0.0103306
14, 0
14, 0
14, 0
14, 0
15, 0.037037
15, 0.037037
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
15, 0
16, 0.0641026
16, 0.0641026
16, 0.0641026
16, 0.0641026
16, 0.0641026
16, 0.0641026
16, 0.0448718
16, 0.0448718
16, 0.0382775
16, 0.0163636
16, 0.0163636
17, 0.00203666
17, 0.00203666
17, 0.00203666
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
17, 0
18, 0.75
18, 0.75
18, 0.75
18, 0.75
18, 0.75
18, 0.75
18, 0.5
18, 0.416667
18, 0.416667
18, 0.171429
18, 0.171429
19, 0.125
19, 0.125
19, 0.125
19, 0.125
19, 0.125
19, 0.125
19, 0.125
19, 0.0428571
19, 0.0428571
19, 0.0428571
19, 0.0428571
20, 0.285714
20, 0.285714
20, 0.285714
20, 0.285714
20, 0.111111
20, 0.111111
20, 0.0471698
20, 0.0471698
20, 0.0471698
20, 0.0254237
20, 0.0254237
21, 0.040404
21, 0.040404
21, 0.040404
21, 0.040404
21, 0.0177936
21, 0.0085592
21, 0
21, 0
21, 0
21, 0
21, 0
22, 0.0246305
22, 0.0246305
22, 0.0246305
22, 0.0246305
22, 0.0246305
22, 0.00806452
22, 0
22, 0
22, 0
22, 0
22, 0
23, 0.2
23, 0.2
23, 0.2
23, 0.0625
23, 0.0625
23, 0.0625
23, 0.0625
23, 0.0243902
23, 0.0233918
23, 0.0135542
23, 0.0135542
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
24, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
25, 0
26, 0.00816327
26, 0.00816327
26, 0.00816327
26, 0.00816327
26, 0.00645161
26, 0.00645161
26, 0
26, 0
26, 0
26, 0
26, 0
27, 0.357143
27, 0.357143
27, 0.357143
27, 0.357143
27, 0.357143
27, 0.357143
27, 0.26087
27, 0.233333
27, 0.126984
27, 0.00907258
27, 0
28, 0.0144928
28, 0.0144928
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
28, 0
29, 0.214286
29, 0.214286
29, 0.214286
29, 0.0283688
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
29, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
30, 0
31, 0.0997767
31, 0.0997767
31, 0.0965524
31, 0.0728537
31, 0.0584139
31, 0.0566118
31, 0.0396425
31, 0.0299124
31, 0.0256435
31, 0.0099893
31, 0.00968688
